"label","x","y","side","x_TR","y_TR","x_TL","y_TL","x_BR","y_BR","x_BL","y_BL"
"1",250,250,50,275,275,225,275,275,225,225,225
"2",55,96,50,80,121,30,121,80,71,30,71
"3",76,347,50,101,372,51,372,101,322,51,322
"4",303,450,50,328,475,278,475,328,425,278,425
"5",402,159,50,427,184,377,184,427,134,377,134
"6",195,157,50,220,182,170,182,220,132,170,132
"7",106,207,50,131,232,81,232,131,182,81,182
"8",195,343,50,220,368,170,368,220,318,170,318
"9",426,310,50,451,335,401,335,451,285,401,285
"A",365,62,50,390,87,340,87,390,37,340,37
"B",287,338,50,312,363,262,363,312,313,262,313
